OBJECTID,NAME,NBR,STREETADDR,CITY,ZIP,TYPE,GCSCORE,GCMETHOD,DAFID,POINT_X,POINT_Y,x,y
2474,SHOPKO HOMETOWN,798,1635 E HIGHWAY 40,BALLARD,84066,Convenience Grocery,100,Centerlines.StatewideRoads,R112151,587504.665433256,4461826.10800843,587504.6654,4461826.108
2475,SHOPKO HOMETOWN,557,1174 N MAIN ST,NEPHI,84648,Convenience Grocery,100,Centerlines.StatewideRoads,R112152,428358.765371432,4397660.10881948,428358.7654,4397660.1088
2476,GNC,5191,8265 W 3500 S,MAGNA,84044,Health Food,100,AddressPoints.AddressGrid,R112241,408016.036553433,4505603.5454412,408016.0366,4505603.5454
2477,JILIB AFRICAN STORE,,1898 W 3500 S,WEST VALLEY CITY,84119,Specialty Grocery,100,AddressPoints.AddressGrid,R112357,420366.036709247,4505534.3664617,420366.0367,4505534.3665
2478,SMITHS FOOD & DRUG STORES,277,1370 W 200 N,KAYSVILLE,84037,Grocery Store,100,AddressPoints.AddressGrid,R112495,418752.832748542,4543684.37396044,418752.8327,4543684.374
2479,WANGSGARDS,,145 HARRISVILLE RD,OGDEN,84404,Grocery Store,100,AddressPoints.AddressGrid,R112532,418567.271865421,4568080.63553275,418567.2719,4568080.6355
2480,DOLLAR TREE,06531,477 N 300 W,SALT LAKE CITY,84103,Convenience Grocery,100,AddressPoints.AddressGrid,R112538,424058.765805593,4514714.26668213,424058.7658,4514714.2667
2481,FAMILY DOLLAR INC,31454,44 N MAIN ST,VEYO,84782,Convenience Grocery,100,AddressPoints.AddressGrid,R112543,261467.56622146,4135847.43406965,261467.5662,4135847.4341
2482,CVS/PHARMACY,10556,667 E 9000 S,SANDY,84070,Convenience Grocery,100,AddressPoints.AddressGrid,R112544,426106.402341407,4493433.41898535,426106.4023,4493433.419
2483,FAMILY DOLLAR,31372,445 S 200 E,IVINS,84738,Convenience Grocery,92.4300003051758,Centerlines.StatewideRoads,R112646,261679.613080463,4116001.1774361,261679.6131,4116001.1774
2484,VITAMIN SHOPPE,,10515 S STATE RD,SANDY,84070,Health Food,90.9199981689453,AddressPoints.AddressGrid,R112823,424615.782585667,4490318.30443526,424615.7826,4490318.3044
